period,height,median,mean,std,count,min,max,variable,tower
whole_period,015m,16.100000381469727,15.026815092056298,9.023854983047215,206794,-17.100000381469727,35.20000076293945,TempC,TOWA
whole_period,030m,16.299999237060547,15.179847398686395,8.88900035595717,207338,-16.0,34.599998474121094,TempC,TOWA
whole_period,015m,16.700000762939453,15.408412744889638,9.170570426712706,183745,-17.5,35.29999923706055,TempC,TOWB
whole_period,030m,16.799999237060547,15.524246302846523,9.075247203139998,183661,-23.799999237060547,35.20000076293945,TempC,TOWB
whole_period,002m,15.899999618530273,14.81458776597878,9.393642954483362,204507,-17.299999237060547,36.400001525878906,TempC,TOWD
whole_period,015m,16.5,15.282647813162372,9.000707168506219,204516,-16.100000381469727,35.20000076293945,TempC,TOWD
whole_period,035m,16.399999618530273,15.245079725332545,8.950129998531338,206191,-23.5,34.70000076293945,TempC,TOWD
whole_period,060m,16.899999618530273,15.539585912153735,8.879053615979782,201061,-21.600000381469727,34.5,TempC,TOWD
whole_period,010m,15.899999618530273,14.94527321750191,9.123625272919886,175722,-16.399999618530273,34.79999923706055,TempC,TOWF
whole_period,025m,16.650001525878906,15.481223860809804,9.051550059027255,209971,-17.53333282470703,33.488887786865234,TempC,TOWS
whole_period,015m,16.88888931274414,15.89386815226679,9.149079621915735,210194,-15.88888931274414,36.27777862548828,TempC,TOWY
whole_period,033m,16.611112594604492,15.50198063876429,8.951429103358373,210201,-16.61111068725586,34.77777862548828,TempC,TOWY
whole_period,015m,80.19999694824219,75.73759340868953,21.859480877683595,190169,12.5,100.0,RelHum,TOWA
whole_period,015m,74.30000305175781,72.15215941558468,22.397910371691022,143121,12.100000381469727,100.0,RelHum,TOWB
whole_period,002m,82.30000305175781,76.19122007159633,21.38465468813548,202974,12.899999618530273,100.0,RelHum,TOWD
whole_period,015m,78.5999984741211,74.42022254659416,21.315295389775628,204099,11.399999618530273,100.0,RelHum,TOWD
whole_period,010m,71.69999694824219,70.08746874589707,18.42473573864934,177971,14.800000190734863,100.0,RelHum,TOWF
whole_period,015m,68.80000305175781,67.20666403486925,20.65105675131987,202745,11.100000381469727,100.0,RelHum,TOWY
whole_period,015m,10.199999809265137,10.540728384113041,5.362861803518082,206485,0.800000011920929,25.600000381469727,AbsHum,TOWA
whole_period,002m,10.199999809265137,10.399791328956484,5.1500331320330535,204147,0.800000011920929,24.799999237060547,AbsHum,TOWD
whole_period,015m,10.300000190734863,10.594592643426735,5.413114989285501,203519,0.800000011920929,24.899999618530273,AbsHum,TOWD
whole_period,010m,9.199999809265137,9.546498322320485,4.434804339840278,172660,0.5,20.200000762939453,AbsHum,TOWF
whole_period,015m,2.5999999046325684,3.130600149939921,2.1920088511232754,208231,0.0,46.29999923706055,WSpdMph,TOWA
whole_period,030m,3.9000000953674316,4.359890461087816,2.816345430424788,173455,0.0,49.70000076293945,WSpdMph,TOWA
whole_period,015m,2.200000047683716,2.8554039941613483,2.4194687302240934,188555,0.0,50.0,WSpdMph,TOWB
whole_period,030m,2.700000047683716,3.4762868922393246,2.929259397175084,188322,0.0,39.20000076293945,WSpdMph,TOWB
whole_period,015m,2.5,3.0798627106216205,2.2841082024380337,187051,0.0,47.20000076293945,WSpdMph,TOWD
whole_period,035m,3.4000000953674316,3.9719287322104635,2.916885347941919,205591,0.0,24.5,WSpdMph,TOWD
whole_period,060m,4.400000095367432,5.107491218446061,3.499422586924002,208938,0.0,30.600000381469727,WSpdMph,TOWD
whole_period,010m,3.9000000953674316,4.359531432365893,2.5650294810843812,143373,0.0,26.299999237060547,WSpdMph,TOWF
whole_period,025m,5.900000095367432,6.491501513595093,3.7060793559289325,209955,0.0,41.20000076293945,WSpdMph,TOWS
whole_period,015m,3.700000047683716,4.243977639078115,2.954881995786517,210009,0.0,28.799999237060547,WSpdMph,TOWY
whole_period,033m,4.199999809265137,4.849166940743305,3.4141670405298497,210129,0.0,31.899999618530273,WSpdMph,TOWY
whole_period,015m,5.900000095367432,7.332492238435736,5.525576368586299,205129,0.0,111.80000305175781,PkWSpdMph,TOWA
whole_period,030m,7.099999904632568,8.57160709130199,6.011901886523193,204220,0.0,75.0,PkWSpdMph,TOWA
whole_period,015m,4.800000190734863,6.411586914761926,5.469832671104038,174395,0.0,111.80000305175781,PkWSpdMph,TOWB
