year,height,median,mean,std,count,min,max,variable,tower
2017,015m,16.399999618530273,15.28241812025218,8.488802477972847,34837,-13.5,33.70000076293945,TempC,TOWA
2017,030m,16.700000762939453,15.480391595932863,8.394077145063873,34883,-12.899999618530273,33.29999923706055,TempC,TOWA
2018,015m,16.399999618530273,14.902016364546414,9.654511565011324,34716,-17.100000381469727,33.20000076293945,TempC,TOWA
2018,030m,16.399999618530273,14.950475258076168,9.569863491977763,34718,-15.0,32.900001525878906,TempC,TOWA
2019,015m,16.5,15.37715863731127,9.091537975032853,34582,-10.0,34.29999923706055,TempC,TOWA
2019,030m,16.799999237060547,15.579544010600932,9.022576199739595,34606,-10.100000381469727,34.20000076293945,TempC,TOWA
2020,015m,15.399999618530273,14.93711815426714,8.58992696384251,34471,-11.100000381469727,35.099998474121094,TempC,TOWA
2020,030m,15.5,15.1109569125012,8.44612146711498,34444,-10.600000381469727,34.599998474121094,TempC,TOWA
2021,015m,16.399999618530273,15.031656814037653,8.692073985876405,34337,-7.300000190734863,33.0,TempC,TOWA
2021,030m,16.299999237060547,15.093801530527761,8.492626764119183,34444,-7.099999904632568,32.5,TempC,TOWA
2022,015m,15.699999809265137,14.620274144486713,9.545422274053742,33851,-16.100000381469727,35.20000076293945,TempC,TOWA
2022,030m,15.899999618530273,14.85815203269223,9.317149473716015,34243,-16.0,34.599998474121094,TempC,TOWA
2017,015m,15.300000190734863,14.276320067423883,8.860198018691872,32006,-14.300000190734863,33.599998474121094,TempC,TOWB
2017,030m,15.5,14.503548765135765,8.686836680010304,31983,-13.699999809265137,33.5,TempC,TOWB
2018,015m,16.799999237060547,14.835072462882586,10.136615466796552,30360,-17.5,34.0,TempC,TOWB
2018,030m,16.899999618530273,14.963009353453668,10.04184740647486,30259,-23.799999237060547,33.599998474121094,TempC,TOWB
2019,015m,16.5,15.319054169105184,9.287794616447572,34869,-10.100000381469727,34.79999923706055,TempC,TOWB
2019,030m,16.600000381469727,15.428512100010286,9.232638384095422,34915,-10.399999618530273,34.70000076293945,TempC,TOWB
2020,015m,16.799999237060547,16.012895660106004,8.425601023788007,31972,-7.900000095367432,35.29999923706055,TempC,TOWB
2020,030m,16.799999237060547,16.096621195990007,8.324018140151102,31964,-7.699999809265137,35.099998474121094,TempC,TOWB
2021,015m,17.200000762939453,15.775627103275358,8.542158808489681,31494,-7.300000190734863,33.0,TempC,TOWB
2021,030m,17.200000762939453,15.862815143355384,8.426675189404333,31494,-7.400000095367432,32.79999923706055,TempC,TOWB
2022,015m,18.600000381469727,16.530814958369657,9.657462271924645,23044,-15.600000381469727,35.29999923706055,TempC,TOWB
2022,030m,18.600000381469727,16.56615030982753,9.664159883844992,23046,-15.5,35.20000076293945,TempC,TOWB
2017,002m,16.100000381469727,14.989846591508444,8.843025847996016,35003,-15.199999809265137,35.099998474121094,TempC,TOWD
2017,015m,16.600000381469727,15.422952740728391,8.504895821334655,34998,-13.5,33.400001525878906,TempC,TOWD
2017,035m,16.799999237060547,15.524752135691774,8.416965648606377,34999,-13.100000381469727,33.0,TempC,TOWD
2017,060m,17.0,15.744598418817146,8.344221488416476,34999,-12.5,32.79999923706055,TempC,TOWD
2018,002m,15.800000190734863,14.619481296459343,9.97545702282164,34972,-17.299999237060547,34.400001525878906,TempC,TOWD
2018,015m,16.299999237060547,14.947912737534798,9.660884292751282,34974,-15.600000381469727,33.400001525878906,TempC,TOWD
2018,035m,16.399999618530273,15.000051470335258,9.606225972799576,34974,-15.399999618530273,33.099998474121094,TempC,TOWD
2018,060m,16.700000762939453,15.170369419619009,9.564625424293473,34974,-14.899999618530273,33.0,TempC,TOWD
2019,002m,16.100000381469727,15.10966856432528,9.429202320724066,34969,-10.0,35.70000076293945,TempC,TOWD
2019,015m,16.700000762939453,15.507683510202423,9.087532342609299,34971,-9.800000190734863,34.599998474121094,TempC,TOWD
2019,035m,16.799999237060547,15.596139659560926,9.029897719409723,34971,-10.0,34.20000076293945,TempC,TOWD
2019,060m,17.165313720703125,15.821637441710363,8.976666559019252,34971,-10.088801383972168,34.06267547607422,TempC,TOWD
2020,002m,15.199999809265137,14.687185264961528,8.997068805015399,35069,-11.899999618530273,36.400001525878906,TempC,TOWD
2020,015m,15.650000095367432,15.115962360222301,8.580394637948029,35070,-10.800000190734863,35.20000076293945,TempC,TOWD
2020,035m,15.699999809265137,15.205546045827244,8.464051238575655,35070,-10.399999618530273,34.70000076293945,TempC,TOWD
2020,060m,15.899999618530273,15.421048728545582,8.361882401044676,35071,-9.699999809265137,34.5,TempC,TOWD
2021,002m,15.600000381469727,14.45202478801358,9.019393284275475,35016,-8.100000381469727,34.099998474121094,TempC,TOWD
2021,015m,16.100000381469727,14.904506254274422,8.619538350594796,35018,-7.5,32.70000076293945,TempC,TOWD
2021,035m,16.200000762939453,15.005166063949419,8.513629517460332,35017,-7.400000095367432,32.29999923706055,TempC,TOWD
2021,060m,16.399999618530273,15.244138225266614,8.42108138261054,35015,-7.400000095367432,32.20000076293945,TempC,TOWD
2022,002m,16.799999237060547,15.070147230299417,10.121860502415469,29478,-17.200000762939453,36.099998474121094,TempC,TOWD
2022,015m,17.899999618530273,15.89361370302508,9.530270638653148,29485,-16.100000381469727,34.900001525878906,TempC,TOWD
2022,035m,16.556065559387207,15.12607938390493,9.641712464743065,31160,-23.5,34.672245025634766,TempC,TOWD
2022,060m,18.600000381469727,15.938204450502097,9.692086895363044,26031,-21.600000381469727,34.099998474121094,TempC,TOWD
